,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
114,2.46527E+17,14/9/2012 16:33,,FALSE,FALSE,,0,0,0,Aku dan mobile ♡  #samsunggalaxys3  #mobile  #samsung  #life  #SASB  #Aidilfitri  #Celebration  #sapura  #istagram    http:// instagr.am/p/PjJC5PzJtr/  ,/zasya710/status/246527078713929728,401315611,zasya710
115,2.47147E+17,16/9/2012 9:37,,FALSE,FALSE,,0,0,0,# cannesfc  throwback. Vs #Sapura  #SelayangStadium  #Final   http:// instagr.am/p/PnjPCQG5uE/  ,/AmirTajjudin/status/247147218136621058,42175221,AmirTajjudin
116,2.49846E+17,23/9/2012 20:20,,FALSE,FALSE,,0,0,0,"Ehh bile tukar sukan neh?""@Qishess : Come on #Sapura  get into the defense box!!!!!""",/AizatAzry/status/249845776463835138,501852842,AizatAzry
117,2.52301E+17,30/9/2012 14:56,,FALSE,FALSE,,0,1,0,# sapura  wedding.,/ashrffmhd/status/252300817204408320,239790714,ashrffmhd
118,2.52937E+17,2/10/2012 9:03,,FALSE,FALSE,,0,0,0,# textgram  #exam  #sapura  #perkhidmatan  #malaysia    http:// instagr.am/p/QQsEVQNpb5/  ,/esz_ellysha/status/252936765189545984,270402595,esz_ellysha
119,2.53107E+17,2/10/2012 20:19,,FALSE,FALSE,,0,0,0,# Sapura,/Fxdhleee/status/253106931152076800,243979867,Fxdhleee
120,2.53863E+17,4/10/2012 22:21,,FALSE,FALSE,,0,0,0,Earlier birthday celebration + 1st year anniversary in SASB. Thanks friends!!!  ♡  #SASB  #Tendering  #Sapura    http:// instagr.am/p/QXQ3y0TJg2/  ,/zasya710/status/253862530122932225,401315611,zasya710
121,2.54526E+17,6/10/2012 18:16,,FALSE,FALSE,,0,0,0,# jam  in front #sapura  #mines,/nnizaJ/status/254525616605523968,856019288,nnizaJ
122,2.57854E+17,15/10/2012 22:42,,FALSE,FALSE,,0,0,0,Gym time!! #Istagram  #leisuretime  #Training  #Gymnasium  #Sapura  #SASB  #Team  #Tendering  @nikrosmaliza  #Friends   http:// instagr.am/p/QzoIjXTJqO/  ,/zasya710/status/257854062190534657,401315611,zasya710
123,2.57855E+17,15/10/2012 22:47,,FALSE,FALSE,,0,0,0,*Peace* #Istagram  #Training  #Sapura  #SASB  #leisuretime   http:// instagr.am/p/QzoxoIzJq3/  ,/zasya710/status/257855312801976320,401315611,zasya710
